"E","824-A1","2","0200","REF","01","","","128","EV","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","EW","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","F2","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","F4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","F5","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","F6","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","F8","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","FH","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","FI","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","FJ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","FY","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","G1","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","G2","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","G3","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","G4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","G5","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","HI","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","HJ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","HPI","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","IF","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","IG","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","IJ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","IP","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","IX","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","JD","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","KW","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","LC","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","LD","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","LU","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","LX","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","LZ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","ME","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","N5","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","N6","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","N7","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","NF","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","NQ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","OZ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","P4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","PG","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","PM","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","POL","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","PQ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","Q4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","Q5","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","QQ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","RB","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","S3","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","ST","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","SY","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","T4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","T7","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","TJ","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","TN","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","TT","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","TX","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","U3","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","UA","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","VD","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","VE","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","VP","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","VR","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","VT","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","WU","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","X1","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","X4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","X5","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","Y4","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","Z8","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","Z9","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","ZH","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","ZS","2","0200","2"
"E","824-A1","2","0200","REF","01","","","128","ZZ","2","0200","2"
"C","824-A1","2","0200","REF","02","","","","","2","0200","5"
"C","824-A1","2","0200","REF","03","","","","","2","0200","8"
"C","824-A1","2","0200","REF","04","","","","","2","0200","8"
"B","824-A1","2","0300","","","","","","","2","0300","2"
"C","824-A1","2","0300","DTM","01","","","","","2","0300","5"
"E","824-A1","2","0300","DTM","01","","","374","003","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","007","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","009","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","011","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","017","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","035","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","036","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","050","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","089","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","090","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","091","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","096","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","097","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","102","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","119","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","142","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","150","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","151","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","186","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","187","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","193","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","194","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","198","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","227","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","228","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","232","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","233","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","242","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","245","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","285","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","286","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","296","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","297","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","300","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","301","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","303","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","304","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","307","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","310","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","313","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","330","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","336","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","337","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","338","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","339","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","340","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","341","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","344","2","0300","2"
"E","824-A1","2","0300","DTM","01","","","374","345","2","0300","2"
